|Circuit # | Qubits| Depth |  CX  |  U3  | Ent. Ratio | X  | Y  | Z  | H  |  RX |  RY |  RZ | S  | T  | Total Gates |Diversity | CX/Qubit | Width/Depth | CX/U3  | 1Q Ratio| Best Simulator |
|   1    |   5   |   39  |  11  |  10  |    0.28    | 10 | 15 | 7  | 8  |  8  |  6  |  8  | 10 | 7  |     119     |    15    |   2.20   |     0.13    |  1.00  |   0.75  |  ibmq_quebec   |
|   2    |   7   |   47  |  15  |  7   |    0.32    | 10 | 14 | 16 | 12 |  13 |  14 |  10 | 7  | 16 |     169     |    15    |   2.14   |     0.15    |  1.88  |   0.70  |ibmq_sherbrooke |
|   3    |   9   |   29  |  14  |  11  |    0.48    | 12 | 12 | 16 | 13 |  11 |  7  |  10 | 7  | 12 |     160     |    15    |   1.56   |     0.31    |  1.17  |   0.69  | ibmq_peekskill |
|   4    |   5   |   35  |  6   |  11  |    0.17    | 10 | 6  | 8  | 9  |  8  |  10 |  10 | 8  | 8  |     113     |    15    |   1.20   |     0.14    |  0.50  |   0.78  |   ibmq_rome    |
|   5    |   5   |   26  |  5   |  8   |    0.19    | 8  | 6  | 5  | 6  |  11 |  2  |  6  | 3  | 10 |      86     |    15    |   1.00   |     0.19    |  0.56  |   0.76  |ibmq_sherbrooke |
|   6    |   7   |   26  |  7   |  1   |    0.27    | 7  | 7  | 8  | 5  |  6  |  5  |  6  | 6  | 8  |      86     |    15    |   1.00   |     0.27    |  3.50  |   0.69  |  ibmq_sydney   |
|   7    |   9   |   24  |  11  |  10  |    0.46    | 6  | 5  | 4  | 11 |  5  |  5  |  8  | 12 | 3  |     107     |    15    |   1.22   |     0.38    |  1.00  |   0.64  |  ibmq_prague   |
|   8    |   5   |   36  |  7   |  7   |    0.19    | 8  | 11 | 6  | 6  |  4  |  7  |  6  | 8  | 5  |      96     |    15    |   1.40   |     0.14    |  0.88  |   0.71  |ibmq_sherbrooke |
|   9    |   6   |   32  |  7   |  6   |    0.22    | 9  | 8  | 4  | 3  |  7  |  8  |  3  | 7  | 5  |      91     |    15    |   1.17   |     0.19    |  1.00  |   0.66  | ibmq_montreal  |
|   10   |   5   |   43  |  6   |  13  |    0.14    | 8  | 9  | 7  | 13 |  9  |  7  |  9  | 11 | 7  |     126     |    15    |   1.20   |     0.12    |  0.43  |   0.74  |   ibmq_oslo    |
|   11   |   6   |   34  |  8   |  6   |    0.24    | 4  | 10 | 5  | 8  |  12 |  6  |  5  | 8  | 10 |     105     |    15    |   1.33   |     0.18    |  1.14  |   0.70  | ibmq_brooklyn  |
|   12   |   7   |   27  |  5   |  6   |    0.19    | 10 | 8  | 11 | 9  |  8  |  8  |  6  | 3  | 11 |     109     |    15    |   0.71   |     0.26    |  0.71  |   0.73  | ibmq_peekskill |
|   13   |   5   |   19  |  5   |  0   |    0.26    | 3  | 9  | 9  | 4  |  8  |  2  |  2  | 3  | 5  |      64     |    14    |   1.00   |     0.26    |  5.00  |   0.70  |ibmq_sherbrooke |
|   14   |   7   |   27  |  13  |  11  |    0.48    | 7  | 9  | 8  | 9  |  7  |  5  |  2  | 4  | 6  |      99     |    15    |   1.86   |     0.26    |  1.08  |   0.69  |  ibmq_mumbai   |
|   15   |   11  |   27  |  13  |  14  |    0.48    | 10 | 11 | 13 | 5  |  8  |  11 |  10 | 12 | 14 |     154     |    15    |   1.18   |     0.41    |  0.87  |   0.70  |ibmq_sherbrooke |
